#,Player,Team,Pos,ADP,PTS,GP,PTS,G,A,'+/-,PIM,EVG,EVA,GWG,PPG,PPA,PPP,SOG,ATOI,FOW,BLK,HIT,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
122,Sam Bennett,Panthers,C,178.2,488.4,75,50,24,26.4,8.5,66,20,21,4,4,5,9.3,183.3,17.4,461.5,38.2,144.1,—,—,—,—,—,—,—,—,—,—
123,Roope Hintz,Stars,C,119.0,486.8,74,55,22.9,32.5,4.1,30,16,20,4,7,12,19.2,153.1,17.4,478.9,35,70,—,—,—,—,—,—,—,—,—,—
124,Jordan Kyrou,Capitals,RW,197.8,485.9,80,52,23.4,29,3.7,23,20,22,4,4,7,11.1,185.9,16.3,3.8,32.6,34.9,—,—,—,—,—,—,—,—,—,—
125,Roman Kantserov,Blackhawks,LW,—,485.8,73,50,25,25,'-7,41,19,20,4,6,5,11,232,14,0,19,51,—,—,—,—,—,—,—,—,—,—
126,Seth Jones,Panthers,D,127.9,478.8,72,42,9.8,32.1,9.8,31,5,18,2,5,14,19.3,137.3,23.9,0,109.8,88.3,—,—,—,—,—,—,—,—,—,—
127,Jackson Blake,Hurricanes,RW,197.4,476.0,82,51,23,27.7,9.6,40,19,21,3,4,7,10.5,170,17,0.2,34,30.5,—,—,—,—,—,—,—,—,—,—
128,Jared McCann,Kraken,"C,LW",—,472.6,75,55,23.2,31.9,'-6.2,24,15,22,4,7,9,16.9,162.8,16.8,126.9,37.9,56.6,—,—,—,—,—,—,—,—,—,—
129,Mats Zuccarello,Kings,RW,206.8,470.6,73,57,16.5,40.9,1.5,30,13,27,3,3,14,17.6,142.6,18.7,15.4,41.5,34.9,—,—,—,—,—,—,—,—,—,—
130,Matthew Knies,Maple Leafs,"LW,RW",119.0,470.6,81,59,22.7,36.5,1.7,38,19,29,3,4,8,11.9,137,18.2,0.2,37.9,169.3,—,—,—,—,—,—,—,—,—,—
131,Matt Coronato,Flames,RW,—,469.6,81,53,24.9,27.6,'-10.1,32,18,19,4,7,9,15.9,185,17.8,34.1,31.7,40.6,—,—,—,—,—,—,—,—,—,—
132,Morgan Geekie,Bruins,"C,LW,RW",118.6,469.0,76,55,28.1,26.9,'-2.5,28,20,18,4,8,9,16.9,142.4,17.2,247.7,35.8,112,—,—,—,—,—,—,—,—,—,—
133,Gabriel Vilardi,Jets,"C,RW",188.2,468.2,72,58,25.3,32.4,'-4.8,24,14,22,4,11,10,20.8,129,18.1,133.5,38.7,29.6,—,—,—,—,—,—,—,—,—,—
134,Quinton Byfield,Kings,C,178.6,468.0,82,55,23.8,30.8,1.8,45,19,25,4,5,6,10.4,156,18.5,349.4,37.2,76.2,—,—,—,—,—,—,—,—,—,—
